WARD_NO,date,Temperature_Mean
1,10/1/2001,294.4970703
52,10/1/2001,294.4970703
129,10/1/2001,294.9287965
170,10/1/2001,294.7674255
171,10/1/2001,294.7674255
183,10/1/2001,294.7674255
197,10/1/2001,294.7674255
177,10/1/2001,294.7674255
172,10/1/2001,294.7674255
26,10/1/2001,294.4970703
25,10/1/2001,294.4970703
86,10/1/2001,294.7674255
198,10/1/2001,294.965569
24,10/1/2001,294.4970703
27,10/1/2001,294.4970703
28,10/1/2001,294.4970703
29,10/1/2001,294.4970703
30,10/1/2001,294.4970703
49,10/1/2001,294.4970703
59,10/1/2001,294.638175
113,10/1/2001,294.7674255
50,10/1/2001,294.6378439
57,10/1/2001,294.7674255
58,10/1/2001,294.7674255
79,10/1/2001,294.7674255
80,10/1/2001,294.7674255
88,10/1/2001,294.7674255
110,10/1/2001,294.7674255
62,10/1/2001,294.4970703
63,10/1/2001,294.7221694
90,10/1/2001,294.7674255
91,10/1/2001,294.7674255
92,10/1/2001,294.7674255
93,10/1/2001,294.7674255
111,10/1/2001,294.7674255
112,10/1/2001,294.7674255
114,10/1/2001,294.7674255
115,10/1/2001,294.7674255
116,10/1/2001,294.7674255
117,10/1/2001,294.7674255
89,10/1/2001,294.7674255
109,10/1/2001,294.7674255
120,10/1/2001,294.7674255
121,10/1/2001,294.7674255
77,10/1/2001,294.7444254
94,10/1/2001,294.7674255
95,10/1/2001,294.7674255
96,10/1/2001,294.7674255
100,10/1/2001,294.7674255
101,10/1/2001,294.7674255
107,10/1/2001,294.7674255
108,10/1/2001,294.7674255
97,10/1/2001,294.7674255
98,10/1/2001,294.7674255
99,10/1/2001,294.7674255
103,10/1/2001,294.7674255
104,10/1/2001,294.7674255
105,10/1/2001,294.7674255
106,10/1/2001,294.7674255
125,10/1/2001,294.7674255
126,10/1/2001,294.7674255
127,10/1/2001,294.7674255
128,10/1/2001,294.7674255
131,10/1/2001,294.7674255
122,10/1/2001,294.7674255
123,10/1/2001,294.7674255
124,10/1/2001,294.7674255
132,10/1/2001,294.7674255
133,10/1/2001,294.7674255
134,10/1/2001,294.7674255
157,10/1/2001,294.7674255
158,10/1/2001,294.7674255
135,10/1/2001,294.7674255
136,10/1/2001,294.7674255
137,10/1/2001,294.7674255
138,10/1/2001,294.7674255
139,10/1/2001,294.7674255
140,10/1/2001,294.7674255
141,10/1/2001,294.7674255
118,10/1/2001,294.7674255
119,10/1/2001,294.7674255
142,10/1/2001,294.7674255
143,10/1/2001,294.7674255
144,10/1/2001,294.7674255
145,10/1/2001,294.7674255
153,10/1/2001,294.7674255
155,10/1/2001,294.7674255
156,10/1/2001,294.7674255
154,10/1/2001,294.7674255
162,10/1/2001,294.7674255
163,10/1/2001,294.7674255
164,10/1/2001,294.7674255
161,10/1/2001,294.7674255
165,10/1/2001,294.7674255
166,10/1/2001,294.7674255
167,10/1/2001,294.7674255
180,10/1/2001,294.7674255
181,10/1/2001,294.7674255
182,10/1/2001,294.7674255
146,10/1/2001,294.7674255
147,10/1/2001,294.7674255
148,10/1/2001,294.7674255
151,10/1/2001,294.7674255
