DISPLAY_NA,WARD_NAME,WARD_NO,date,EVI_mean,NDVI_mean
"NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru",Kempegowda Ward,1,7/1/2010,3616.804738,4993.940685
"0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru",K R Puram,52,7/1/2010,2597.085909,3987.999778
"300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru",Jnana Bharathi ward,129,7/1/2010,2725.022545,3578.634628
"400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru",Jayanagar East,170,7/1/2010,1558.647931,2225.688678
"0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru",Gurappanapalya,171,7/1/2010,1410.861905,1991.901625
"500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru",Chikkalsandra,183,7/1/2010,1338.808386,1888.55911
"0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru",Vasanthpura,197,7/1/2010,2447.614027,3226.372194
"100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru",J P Nagar,177,7/1/2010,1548.209093,2290.640783
"0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru",Madivala,172,7/1/2010,1586.060335,2176.698653
"Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru",Ramamurthy Nagar,26,7/1/2010,3203.359774,4700.563482
"0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru",Horamavu,25,7/1/2010,2990.467419,4250.33381
"0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru",Marathahalli,86,7/1/2010,2686.833429,3758.637587
"BGS Road, Kodipalya, Bengaluru",Hemmigepura,198,7/1/2010,2960.573178,3920.136557
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,10/1/2010,3549.07045,5386.213676
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,10/1/2010,3208.549418,4945.226836
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,10/1/2010,2914.000902,4660.611682
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,10/1/2010,2226.698264,3682.057672
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,10/1/2010,2917.554904,4508.663547
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,10/1/2010,3289.401228,5058.331826
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,10/1/2010,2512.381934,4157.770261
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,10/1/2010,2186.27089,3441.494193
